Date,year,Address,City,Inc. #,Responsetime,address_geo,lat,long
2011-04-10,2011,322 SUSSEX NE,Cedar Rapids,1102637,3.51,"322 SUSSEX NE, Cedar Rapids, Iowa",42.045983,-91.634644
2011-04-10,2011,4617 J SW,Cedar Rapids,1102642,3.58,"4617 J SW, Cedar Rapids, Iowa",41.9327276,-91.6659564
2011-04-16,2011,822 18TH SW,Cedar Rapids,1102761,4.3,"822 18TH SW, Cedar Rapids, Iowa",41.961105,-91.68067
2011-04-17,2011,1526 J NE,Cedar Rapids,1102794,3.49,"1526 J NE, Cedar Rapids, Iowa",41.999694,-91.65611
2011-04-29,2011,2512 C NE,Cedar Rapids,1103092,4.13,"2512 C NE, Cedar Rapids, Iowa",42.002778,-91.639979
2011-05-05,2011,5016 1ST W,Cedar Rapids,1103213,6.41,"5016 1ST W, Cedar Rapids, Iowa",41.9687391,-91.7358634
2011-05-20,2011,4516 WALKER NE,Cedar Rapids,1103619,5.48,"4516 WALKER NE, Cedar Rapids, Iowa",42.02417,-91.664212
2011-05-23,2011,1337 19TH SW,Cedar Rapids,1103699,3.18,"1337 19TH SW, Cedar Rapids, Iowa",41.959579,-91.690377
2011-05-28,2011,632 19TH SW,Cedar Rapids,1103831,2.54,"632 19TH SW, Cedar Rapids, Iowa",41.960036,-91.678445
2011-05-28,2011,266 LYNDA NW,Cedar Rapids,1103834,3.48,"266 LYNDA NW, Cedar Rapids, Iowa",41.974051,-91.728517
2011-05-31,2011,1658 32ND NE,Cedar Rapids,1103916,3.23,"1658 32ND NE, Cedar Rapids, Iowa",42.010674,-91.661798
2011-06-01,2011,1730 C NW,Cedar Rapids,1103937,5.28,"1730 C NW, Cedar Rapids, Iowa",41.976383,-91.696215
2011-06-06,2011,2951 6TH SW,Cedar Rapids,1104079,4.33,"2951 6TH SW, Cedar Rapids, Iowa",41.9486241,-91.6767906
2011-06-08,2011,3939 1ST E,Cedar Rapids,1104136,2.27,"3939 1ST E, Cedar Rapids, Iowa",42.0189488,-91.6320875
2011-06-10,2011,505 ROCKHURST SW,Cedar Rapids,1104191,8.27,"505 ROCKHURST SW, Cedar Rapids, Iowa",41.966963,-91.763789
2011-06-13,2011,1906 TAFT SW,Cedar Rapids,1104273,5.58,"1906 TAFT SW, Cedar Rapids, Iowa",41.915555,-91.626236
2011-06-15,2011,5521 PLAINVIEW NW,Cedar Rapids,1104324,6.32,"5521 PLAINVIEW NW, Cedar Rapids, Iowa",41.9746219,-91.743368
2011-06-15,2011,1106 REGENT NE,Cedar Rapids,1104340,6.03,"1106 REGENT NE, Cedar Rapids, Iowa",42.024615,-91.651263
2011-06-19,2011,226 27TH NW,Cedar Rapids,1104422,5.28,"226 27TH NW, Cedar Rapids, Iowa",41.9733637,-91.708479
2011-06-19,2011,330 29TH STR SE,Cedar Rapids,1104428,5.43,"330 29TH STR SE, Cedar Rapids, Iowa",41.9805675,-91.625729
2011-06-20,2011,925 N SW,Cedar Rapids,1104466,5.5,"925 N SW, Cedar Rapids, Iowa",41.966354,-91.673069
2011-06-24,2011,? MOUNT VERNON RD SE,Cedar Rapids,1104572,3.47,"? MOUNT VERNON RD SE, Cedar Rapids, Iowa",41.9767956,-91.593647
2011-06-27,2011,2121 ROCKFORD SW,Cedar Rapids,1104671,3.29,"2121 ROCKFORD SW, Cedar Rapids, Iowa",41.958419,-91.693963
2011-07-01,2011,1436 M SW,Cedar Rapids,1104769,4.14,"1436 M SW, Cedar Rapids, Iowa",41.963118,-91.672537
2011-07-09,2011,393 EDGEWOOD NW,Cedar Rapids,1105019,3.46,"393 EDGEWOOD NW, Cedar Rapids, Iowa",41.9771454,-91.7159472
2011-07-13,2011,2237 BIRCHWOOD NE,Cedar Rapids,1105137,5.07,"2237 BIRCHWOOD NE, Cedar Rapids, Iowa",42.014674,-91.6743089
2011-07-13,2011,1611 CENTER POINT NE,Cedar Rapids,1105145,5.15,"1611 CENTER POINT NE, Cedar Rapids, Iowa",42.0053485,-91.6630753
2011-07-16,2011,1049 F NW,Cedar Rapids,1105222,4.21,"1049 F NW, Cedar Rapids, Iowa",41.978775,-91.688246
2011-07-17,2011,337 24TH NW,Cedar Rapids,1105272,4.38,"337 24TH NW, Cedar Rapids, Iowa",41.975654,-91.705476
2011-07-17,2011,337 24 NW,Cedar Rapids,1105272,5.51,"337 24 NW, Cedar Rapids, Iowa",41.975654,-91.705476
2011-07-17,2011,337 24 NW,Cedar Rapids,1105272,5.51,"337 24 NW, Cedar Rapids, Iowa",41.975654,-91.705476
2011-07-20,2011,925 N SW,Cedar Rapids,1105355,3.57,"925 N SW, Cedar Rapids, Iowa",41.966354,-91.673069
2011-07-22,2011,7009 KENT NE,Cedar Rapids,1105439,2.56,"7009 KENT NE, Cedar Rapids, Iowa",42.048372,-91.629757
2011-07-28,2011,3127 WESTWOOD NW,Cedar Rapids,1105602,5.01,"3127 WESTWOOD NW, Cedar Rapids, Iowa",41.984916,-91.713532
2011-07-30,2011,1150 6th SE,Cedar Rapids,1105651,5.08,"1150 6th SE, Cedar Rapids, Iowa",41.9725774,-91.6548191
2011-07-30,2011,1100 6th SE,Cedar Rapids,1105651,5.08,"1100 6th SE, Cedar Rapids, Iowa",41.9729278,-91.6556333
2011-08-05,2011,1030 MEMORIAL SE,Cedar Rapids,1105821,4,"1030 MEMORIAL SE, Cedar Rapids, Iowa",41.974926,-91.627422
2011-08-13,2011,902 16TH SE,Cedar Rapids,1106087,5.38,"902 16TH SE, Cedar Rapids, Iowa",41.971079,-91.652482
2011-08-14,2011,902 16th St SE,Cedar Rapids,1106099,5.43,"902 16th St SE, Cedar Rapids, Iowa",41.9779292,-91.6465
2011-08-20,2011,5805 MUIRFIELD SW,Cedar Rapids,1106269,6.13,"5805 MUIRFIELD SW, Cedar Rapids, Iowa",41.919917,-91.634575
2011-08-25,2011,1541 D NE,Cedar Rapids,1106393,2.35,"1541 D NE, Cedar Rapids, Iowa",41.992058,-91.654224
2011-08-27,2011,2417 DESOTO SW,Cedar Rapids,1106475,8.33,"2417 DESOTO SW, Cedar Rapids, Iowa",41.9550663,-91.7542165
2011-08-29,2011,4333 1ST SW,Cedar Rapids,1106547,2.52,"4333 1ST SW, Cedar Rapids, Iowa",41.9671918,-91.7270598
2011-09-05,2011,1919 CACH SW,Cedar Rapids,1106720,4.25,"1919 CACH SW, Cedar Rapids, Iowa",41.959049,-91.659628
2011-09-05,2011,725 41ST AVE SW,Cedar Rapids,1106725,6.4,"725 41ST AVE SW, Cedar Rapids, Iowa",41.9358886,-91.6449503
2011-09-06,2011,1505 48TH NE,Cedar Rapids,1106750,7.02,"1505 48TH NE, Cedar Rapids, Iowa",42.026064,-91.658741
2011-09-08,2011,2222 1ST E,Cedar Rapids,1106809,9.04,"2222 1ST E, Cedar Rapids, Iowa",41.9978689,-91.637401
2011-09-09,2011,1225 2ND SE,Cedar Rapids,1106823,3.44,"1225 2ND SE, Cedar Rapids, Iowa",41.984304,-91.65589
2011-09-11,2011,1717 D SW,Cedar Rapids,1106904,5.58,"1717 D SW, Cedar Rapids, Iowa",41.9630469,-91.661892
2011-09-14,2011,1950 DODGE NE,Cedar Rapids,1106966,6.12,"1950 DODGE NE, Cedar Rapids, Iowa",42.027372,-91.6671739
2011-09-16,2011,6506 COLORADO SW,Cedar Rapids,1107009,8.05,"6506 COLORADO SW, Cedar Rapids, Iowa",41.915339,-91.664424
2011-09-18,2011,2911 LONG BLUFF NE,Cedar Rapids,1107049,5.33,"2911 LONG BLUFF NE, Cedar Rapids, Iowa",42.009123,-91.69408
2011-09-24,2011,1371 19TH SW,Cedar Rapids,1107195,4.52,"1371 19TH SW, Cedar Rapids, Iowa",41.959591,-91.691443
2011-09-25,2011,2128 NORTH TOWNE NE,Cedar Rapids,1107232,6.04,"2128 NORTH TOWNE NE, Cedar Rapids, Iowa",42.0329651,-91.6711247
2011-09-26,2011,1525 7th Ave SE,Cedar Rapids,1107255,5.58,"1525 7th Ave SE, Cedar Rapids, Iowa",41.9802729,-91.649279
2011-10-01,2011,1400 3RD NW,Cedar Rapids,1107416,4.06,"1400 3RD NW, Cedar Rapids, Iowa",41.9868237,-91.6773551
2011-10-02,2011,344 19TH SE,Cedar Rapids,1107424,5.27,"344 19TH SE, Cedar Rapids, Iowa",41.987315,-91.642452
2011-10-05,2011,209 7th SE,Cedar Rapids,1107530,4.27,"209 7th SE, Cedar Rapids, Iowa",41.9809636,-91.6621983
2011-10-07,2011,1121 3RD SW,Cedar Rapids,1107611,3.43,"1121 3RD SW, Cedar Rapids, Iowa",41.9662625,-91.670044
2011-10-13,2011,82 SIMPSON SW,Cedar Rapids,1107770,5.4,"82 SIMPSON SW, Cedar Rapids, Iowa",41.9236855,-91.6507005
