Date,Year,Address,City,ResponseTime,lat,long
28-Mar-2011,2011,2013 WEST POST SW,Cedar Rapids,5.09,41.9597856,-91.7403852
28-Mar-2011,2011,1708 C SW,Cedar Rapids,4.59,41.963372,-91.660866
28-Mar-2011,2011,860 Linnview Drive,Marion,3.44,42.035935,-91.62482
29-Mar-2011,2011,2506 CANYON SW,Cedar Rapids,5.09,41.9538024,-91.7412452
31-Mar-2011,2011,3320 QUEEN SW,Cedar Rapids,5.17,41.944251,-91.715189
2-Apr-2011,2011,408 EDGEWOOD NW,Cedar Rapids,2.44,41.9775528,-91.7164456
2-Apr-2011,2011,4320 WESTCHESTER NE,Cedar Rapids,3.44,42.023592,-91.6853129
2-Apr-2011,2011,730 N Linn St,Iowa City,4.15,41.669866,-91.531229
4-Apr-2011,2011,119 E College St,Iowa City,4.03,41.65879,-91.533473
5-Apr-2011,2011,824 M NW,Cedar Rapids,5.16,41.987005,-91.684376
5-Apr-2011,2011,1644 13TH NW,Cedar Rapids,6.51,41.9903959,-91.690766
10-Apr-2011,2011,322 SUSSEX NE,Cedar Rapids,3.51,42.045983,-91.634644
10-Apr-2011,2011,4617 J SW,Cedar Rapids,3.58,41.9327276,-91.6659564
10-Apr-2011,2011,County Home & Hindman Rds,Marion,8.45,42.093397,-91.5206365
12-Apr-2011,2011,2900 Indian Creek Road,Marion,4.18,42.0507464,-91.5916952
16-Apr-2011,2011,822 18TH SW,Cedar Rapids,4.3,41.961105,-91.68067
17-Apr-2011,2011,1526 J NE,Cedar Rapids,3.49,41.999694,-91.65611
29-Apr-2011,2011,2512 C NE,Cedar Rapids,4.13,42.002778,-91.639979
1-May-2011,2011,434 S Johnson St,Iowa City,5.14,41.655757,-91.5268789
2-May-2011,2011,1303 Tracy Ln,Iowa City,4.25,41.639355,-91.51678
5-May-2011,2011,5016 1ST W,Cedar Rapids,6.41,41.9687391,-91.7358634
8-May-2011,2011,2500 E Highway #6,Iowa City,3.53,41.6352244,-91.5000773
10-May-2011,2011,670 34th Avenue,Marion,5.14,42.055206,-91.602752
20-May-2011,2011,4516 WALKER NE,Cedar Rapids,5.48,42.02417,-91.664212
23-May-2011,2011,1337 19TH SW,Cedar Rapids,3.18,41.959579,-91.690377
28-May-2011,2011,632 19TH SW,Cedar Rapids,2.54,41.960036,-91.678445
28-May-2011,2011,266 LYNDA NW,Cedar Rapids,3.48,41.974051,-91.728517
29-May-2011,2011,401 Kirkwood Ave,Iowa City,3.26,41.649077,-91.530391
30-May-2011,2011,2385 Stratford Drive,Marion,5.19,42.046154,-91.571831
31-May-2011,2011,1658 32ND NE,Cedar Rapids,3.23,42.010674,-91.661798
1-Jun-2011,2011,1730 C NW,Cedar Rapids,5.28,41.976383,-91.696215
6-Jun-2011,2011,2951 6TH SW,Cedar Rapids,4.33,41.9486241,-91.6767906
7-Jun-2011,2011,403 Armhurst St,Iowa City,6.5,41.665761,-91.487519
8-Jun-2011,2011,3939 1ST E,Cedar Rapids,2.27,42.0189488,-91.6320875
10-Jun-2011,2011,505 ROCKHURST SW,Cedar Rapids,8.27,41.966963,-91.763789
13-Jun-2011,2011,1906 TAFT SW,Cedar Rapids,5.58,41.915555,-91.626236
13-Jun-2011,2011,1550 50th Street,Marion,2.26,42.038902,-91.557301
14-Jun-2011,2011,1550 50th Street,Marion,2.11,42.038902,-91.557301
15-Jun-2011,2011,5521 PLAINVIEW NW,Cedar Rapids,6.32,41.9746219,-91.743368
15-Jun-2011,2011,1106 REGENT NE,Cedar Rapids,6.03,42.024615,-91.651263
19-Jun-2011,2011,226 27TH NW,Cedar Rapids,5.28,41.9733637,-91.708479
19-Jun-2011,2011,330 29TH STR SE,Cedar Rapids,5.43,41.9805675,-91.625729
20-Jun-2011,2011,925 N SW,Cedar Rapids,5.5,41.966354,-91.673069
24-Jun-2011,2011,? MOUNT VERNON RD SE,Cedar Rapids,3.47,41.9767956,-91.593647
27-Jun-2011,2011,2121 ROCKFORD SW,Cedar Rapids,3.29,41.958419,-91.693963
29-Jun-2011,2011,1032 Howell St,Iowa City,4.48,41.648741,-91.519806
30-Jun-2011,2011,80 W. 8th Avenue,Marion,2.15,42.034628,-91.612143
1-Jul-2011,2011,1436 M SW,Cedar Rapids,4.14,41.963118,-91.672537
5-Jul-2011,2011,58 Rita Lyn Ct,Iowa City,5.47,41.663608,-91.503936
5-Jul-2011,2011,1205 Laur Dr,Iowa City,6.31,41.684809,-91.543113
6-Jul-2011,2011,1300 Highway 151,Marion,6.16,42.0472109,-91.4912394
7-Jul-2011,2011,2195 Catherine Court,Marion,6.07,42.018506,-91.589159
9-Jul-2011,2011,393 EDGEWOOD NW,Cedar Rapids,3.46,41.9771454,-91.7159472
11-Jul-2011,2011,3400 Barrett Road,Marion,9,42.1083458,-91.5306551
11-Jul-2011,2011,1860 County Home Road,Marion,9.44,42.0938155,-91.5474102
12-Jul-2011,2011,1590 Brockman Avenue,Marion,4.31,42.042428,-91.59308
13-Jul-2011,2011,2237 BIRCHWOOD NE,Cedar Rapids,5.07,42.014674,-91.6743089
13-Jul-2011,2011,1611 CENTER POINT NE,Cedar Rapids,5.15,42.0053485,-91.6630753
16-Jul-2011,2011,1049 F NW,Cedar Rapids,4.21,41.978775,-91.688246
17-Jul-2011,2011,337 24TH NW,Cedar Rapids,4.38,41.975654,-91.705476
17-Jul-2011,2011,337 24 NW,Cedar Rapids,5.51,41.975654,-91.705476
17-Jul-2011,2011,337 24 NW,Cedar Rapids,5.51,41.975654,-91.705476
20-Jul-2011,2011,925 N SW,Cedar Rapids,3.57,41.966354,-91.673069
22-Jul-2011,2011,7009 KENT NE,Cedar Rapids,2.56,42.048372,-91.629757
23-Jul-2011,2011,2140 Davis St,Iowa City,4.41,41.637771,-91.5168
28-Jul-2011,2011,3127 WESTWOOD NW,Cedar Rapids,5.01,41.984916,-91.713532
30-Jul-2011,2011,1150 6th SE,Cedar Rapids,5.08,41.9725774,-91.6548191
30-Jul-2011,2011,1100 6th SE,Cedar Rapids,5.08,41.9729278,-91.6556333
3-Aug-2011,2011,1485 Grand Avenue,Marion,5.27,42.0197428,-91.5942852
4-Aug-2011,2011,2430 17th Avenue,Marion,4.12,42.041544,-91.586651
5-Aug-2011,2011,1030 MEMORIAL SE,Cedar Rapids,4,41.974926,-91.627422
7-Aug-2011,2011,1037 Cross Park Ave,Iowa City,4.27,41.6388296,-91.521153
8-Aug-2011,2011,2167 Dawn Drive,Marion,6.56,42.068038,-91.619674
13-Aug-2011,2011,902 16TH SE,Cedar Rapids,5.38,41.971079,-91.652482
14-Aug-2011,2011,902 16th St SE,Cedar Rapids,5.43,41.9779292,-91.6465
20-Aug-2011,2011,5805 MUIRFIELD SW,Cedar Rapids,6.13,41.919917,-91.634575
23-Aug-2011,2011,729 N Dubuque St,Iowa City,4.21,41.670347,-91.533081
23-Aug-2011,2011,2910 Newcastle Road,Marion,5.2,42.050743,-91.622888
24-Aug-2011,2011,2560 Westminster Place,Marion,4.46,42.048,-91.617631
25-Aug-2011,2011,1541 D NE,Cedar Rapids,2.35,41.992058,-91.654224
27-Aug-2011,2011,2417 DESOTO SW,Cedar Rapids,8.33,41.9550663,-91.7542165
28-Aug-2011,2011,2635 1st Avenue,Marion,3.44,42.027662,-91.584028
29-Aug-2011,2011,4333 1ST SW,Cedar Rapids,2.52,41.9671918,-91.7270598
30-Aug-2011,2011,515 Bentley Drive,Marion,4.55,42.0461231,-91.6017496
5-Sep-2011,2011,1919 CACH SW,Cedar Rapids,4.25,41.959049,-91.659628
5-Sep-2011,2011,725 41ST AVE SW,Cedar Rapids,6.4,41.9358886,-91.6449503
6-Sep-2011,2011,1505 48TH NE,Cedar Rapids,7.02,42.026064,-91.658741
6-Sep-2011,2011,590 Bentley Drive,Marion,4.01,42.0461231,-91.6017496
7-Sep-2011,2011,2401 E Highway #6,Iowa City,3.23,41.6352244,-91.5000773
7-Sep-2011,2011,2751 Regal Court,Marion,5.51,42.017041,-91.582658
8-Sep-2011,2011,2222 1ST E,Cedar Rapids,9.04,41.9978689,-91.637401
9-Sep-2011,2011,1225 2ND SE,Cedar Rapids,3.44,41.984304,-91.65589
10-Sep-2011,2011,2730 24th Street,Marion,3.03,42.049309,-91.587774
11-Sep-2011,2011,1717 D SW,Cedar Rapids,5.58,41.9630469,-91.661892
12-Sep-2011,2011,324 N Lucas St,Iowa City,3.01,41.6653019,-91.523955
12-Sep-2011,2011,734 Westwinds Dr,Iowa City,7.48,41.652109,-91.577457
