GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","2013 Total","2008 total"
142012601300000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"Detached Structures Only","",1937,"","","",0,84488
142012601400000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,88359
142012700600000,"CITY PROPERTY",EXEMPT,"","PENN AVE NW","CEDAR RAPIDS CITY OF",0.17,"","","","","","",0,84202
142012700700000,"CITY PROPERTY",EXEMPT,"","PENN AVE NW","CEDAR RAPIDS CITY OF",0.169,"","","","","","",0,136273
142012701100000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,84049
142012701300000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,74621
142013000100000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.159,"Detached Structures Only","",1927,"","","",0,102743
142013000200000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.159,"","","","","","",0,123472
142013000400000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,97986
142013000600000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,69473
142013000900000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,74582
142013001200000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,67948
142013001400000,"CITY PROPERTY",EXEMPT,"","O AVE NW","CEDAR RAPIDS CITY OF",0.147,Single-Family,"1 Story Frame",1900,716.0,"","",0,57377
142013001500000,"CITY PROPERTY",EXEMPT,"","O AVE NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,75742
142013001700000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,85761
142013001800000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,83756
142013001900000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,82439
142013002000000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.22,"","","","","","",0,107059
142013002100000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.11,"","","","","","",0,89000
142013002200000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.11,"","","","","","",0,69645
142013002300000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,76973
142013002400000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,105057
142013002500000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,104366
142013002800000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,81100
142013102400000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,112238
142013102500000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,66246
142015500900000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.229,"Two-Family Conversion","2 Story Frame",1905,1331.0,"","",0,78362
142015501100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","L AVE NW","CEDAR RAPIDS CITY OF",0.5876,"","","","","","",0,191343
142015501300000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.118,"","","","","","",0,89247
142015501500000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.118,"","","","","","",0,89518
142015501600000,"CITY PROPERTY",EXEMPT,WAREHOUSE,"ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.1175,"","","","","","",0,36081
142015501700000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.118,"","","","","","",0,77661
142015501800000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.1469,"","","","","","",0,63892
142015501900000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.07,"","","","","","",0,39226
142015502000000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.085,"","","","","","",0,86041
142017600100000,"CITY PROPERTY",EXEMPT,"","O AVE NW","CEDAR RAPIDS CITY OF",0.083,"","","","","","",0,46498
142017600200000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.132,"Detached Structures Only","",2002,"","","",0,10135
142017600300000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,63177
142017600400000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,66361
142017600500000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,89478
142017600600000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,72727
142017600700000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,6930
142017600800000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,59484
142017600900000,"CITY PROPERTY",EXEMPT,"","N AVE NW","CEDAR RAPIDS CITY OF",0.115,"","","","","","",0,65345
142017601000000,"CITY PROPERTY",EXEMPT,"","N AVE NW","CEDAR RAPIDS CITY OF",0.115,Single-Family,Salvage,1900,760.0,"","",0,53587
142017601100000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.272,"","","","","","",0,61307
142017601200000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.214,"","","","","","",0,16500
142017601300000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.087,"Detached Structures Only","",2002,"","","",0,3115
142017601400000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.103,"","","","","","",0,44995
142017601500000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.161,"Detached Structures Only","",1928,"","","",0,48981
142017601600000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.126,"","","","","","",0,33108
142017700100000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.132,"","","","","","",0,50195
