GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","Gross Bldg Area","2008 total","2016 Total"
141945601700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.93,"","","","","","","",0,0
141947900100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","19TH ST NW","CEDAR RAPIDS CITY OF",0.193,"","","","","","","",0,0
142027700100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",3.53,"","","","","","","",0,0
142027700500000,"CITY PROPERTY",EXEMPT,"WATER RETENTION","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.72,"","","","","","","",0,0
142035700300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.23,"","","","","","","",0,0
142035700500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.514,"","","","","","","",0,0
142040600200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","5TH ST NW","CEDAR RAPIDS CITY OF",5.9,"","","","","","","",0,0
142040800800000,"CITY PROPERTY",EXEMPT,"VACANT LAND","5TH ST NW","CEDAR RAPIDS CITY OF",0.126,"","","","","","","",0,0
142048101500000,"CITY PROPERTY",EXEMPT,"VACANT STRP OF LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.032,"","","","","","","",0,0
142048301200000,"CITY PROPERTY",EXEMPT,"PART OF ALLEY","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.0092,"","","","","","","",0,0
142117700200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.0104,"","","","","","","",0,0
142138000100000,"CITY PROPERTY",EXEMPT,"PARK WITH 5 SEASONS STATUE","VACANT LAND NE","CEDAR RAPIDS CITY OF",2.598,"","","","","","","",0,0
142140502000000,"CITY PROPERTY",EXEMPT,ALLEY,"VACANT LAND NE","CEDAR RAPIDS CITY OF",0.011,"","","","","","","",0,0
142145500200000,"CITY PROPERTY",EXEMPT,"US CELLULAR PARKING STRUCTURE","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.7713,"","","","","","","",0,0
142145500300000,"CITY PROPERTY",EXEMPT,"US CELLULAR PARKING STRUCTURE","VACANT LAND NE","CEDAR RAPIDS CITY OF","","","","","","","","",0,0
142145900100000,"CITY PROPERTY",EXEMPT,"ART MUSEUM","3RD AVE SE","CEDAR RAPIDS CITY OF",0.7713,"","","","","","","",0,0
