GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","2013 Total","2008 total","2016 Total"
142838000100000,"CITY PROPERTY",EXEMPT,"","K ST SW","CEDAR RAPIDS CITY OF",0.068,"","","","","","",0,44342,""
142125100500000,"CITY PROPERTY",EXEMPT,"","3RD ST NW","CEDAR RAPIDS CITY OF",0.092,"","","","","","",0,44647,""
142833001400000,"CITY PROPERTY",EXEMPT,"","5TH ST SW","CEDAR RAPIDS CITY OF",0.041,"","","","","","",0,44778,9500
142048100300000,"CITY PROPERTY",EXEMPT,"","G AVE NW","CEDAR RAPIDS CITY OF",0.197,"","","","","","",0,44897,19600
142017601400000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.103,"","","","","","",0,44995,""
142918500700000,"CITY PROPERTY",EXEMPT,CONVERSION,"3RD AVE SW","CEDAR RAPIDS CITY OF",0.0706,"","","","","","",0,45073,4600
142942802100000,"CITY PROPERTY",EXEMPT,"","ROCKFORD RD SW","CEDAR RAPIDS CITY OF",0.177,"","","","","","",0,45481,143900
142040201100000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.115,"","","","","","",0,45530,""
142040800300000,"CITY PROPERTY",EXEMPT,"","J AVE NW","CEDAR RAPIDS CITY OF",0.1,"","","","","","",0,45586,""
142818800700000,"CITY PROPERTY",EXEMPT,"","2ND ST SE","CEDAR RAPIDS CITY OF",0.085,"","","","","","",0,45735,""
142837701600000,"CITY PROPERTY",EXEMPT,"","K ST SW","CEDAR RAPIDS CITY OF",0.161,"","","","","","",0,45841,15000
142818800500000,"CITY PROPERTY",EXEMPT,"","2ND ST SE","CEDAR RAPIDS CITY OF",0.096,"","","","","","",0,45886,""
142048100500000,"CITY PROPERTY",EXEMPT,"","G AVE NW","CEDAR RAPIDS CITY OF",0.103,"","","","","","",0,45962,9600
