GIS_Number,Map Name,Class,Doing_Business_As,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,2016 Total,2008 total,Sale date,Amount,Non-Useable Transaction Code,Recording
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.106,,,,,,,0,37950,,,,
1.40943E+14,CITY PROPERTY,EXEMPT,VACANT LAND,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.337,,,,,,,0,38048,,,,
1.42919E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH AVE SW,CEDAR RAPIDS CITY OF,0.082,,,,,,,0,38064,,,,
1.42941E+14,CITY PROPERTY,EXEMPT,VACANT LAND,8TH ST SW,CEDAR RAPIDS CITY OF,0.038,,,,,,,0,38344,,,,
1.42919E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH AVE SW,CEDAR RAPIDS CITY OF,0.085,,,,,,,0,38873,,,,
1.42841E+14,CITY PROPERTY,EXEMPT,VACANT LAND,1ST ST SE,CEDAR RAPIDS CITY OF,0.048,,,,,,,0,39490,,,,
1.42823E+14,CITY PROPERTY,EXEMPT,VACANT LAND,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.2277,,,,,,,0,39514,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,I AVE NW,CEDAR RAPIDS CITY OF,0.059,,,,,,,0,39727,,,,
1.42826E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST SW,CEDAR RAPIDS CITY OF,0.075,,,,,,,0,39738,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,39949,,,,
1.42826E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST SW,CEDAR RAPIDS CITY OF,0.111,,,,,,,0,40198,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,J AVE NW,CEDAR RAPIDS CITY OF,0.126,,,,,,,0,40410,,,,
1.42828E+14,CITY PROPERTY,EXEMPT,VACANT LAND,1ST ST SW,CEDAR RAPIDS CITY OF,0.048,,,,,,,0,40531,,,,
1.42826E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH AVE SW,CEDAR RAPIDS CITY OF,0.083,,,,,,,0,40881,,,,
1.42049E+14,CITY PROPERTY,EXEMPT,VACANT LAND,E AVE NW,CEDAR RAPIDS CITY OF,0.1286,,,,,,,0,41284,,,,
1.42728E+14,CITY PROPERTY,EXEMPT,VACANT LAND,16TH AVE SE,CEDAR RAPIDS CITY OF,0.193,,,,,,,0,41361,,,,
1.42049E+14,CITY PROPERTY,EXEMPT,VACANT LAND,E AVE NW,CEDAR RAPIDS CITY OF,0.043,,,,,,,0,41368,,,,
