GIS_Number_valuations,Map_Name_valuations,Class_valuations,2009 Land,2009 Dwlg,2009 Improv,2009 Total
113417700201201,CONDO 500,Residential,360,3478,0,3838
113417700201202,CONDO 500,Residential,360,3478,0,3838
113417700201203,CONDO 500,Residential,360,3478,0,3838
113417700201204,CONDO 500,Residential,360,3478,0,3838
113417700201205,CONDO 500,Residential,360,3478,0,3838
113417700201206,CONDO 500,Residential,360,3478,0,3838
113417700201207,CONDO 500,Residential,360,3478,0,3838
113417700201208,CONDO 500,Residential,360,3478,0,3838
113417700201209,CONDO 500,Residential,360,3478,0,3838
113417700201210,CONDO 500,Residential,360,3478,0,3838
113417700201211,CONDO 500,Residential,360,3478,0,3838
113417700201212,CONDO 500,Residential,360,3478,0,3838
113417700201213,CONDO 500,Residential,360,3478,0,3838
113417700201214,CONDO 500,Residential,360,3478,0,3838
113417700201215,CONDO 500,Residential,360,3478,0,3838
113417700201216,CONDO 500,Residential,360,3478,0,3838
113417700201217,CONDO 500,Residential,360,3478,0,3838
113417700201218,CONDO 500,Residential,360,3478,0,3838
113417700201219,CONDO 500,Residential,360,3478,0,3838
113417700201220,CONDO 500,Residential,360,3478,0,3838
113417700201221,CONDO 500,Residential,360,3478,0,3838
113417700201222,CONDO 500,Residential,360,3478,0,3838
113417700201223,CONDO 500,Residential,360,3478,0,3838
113417700201224,CONDO 500,Residential,360,3478,0,3838
113417700201225,CONDO 500,Residential,360,3478,0,3838
113417700201226,CONDO 500,Residential,360,3478,0,3838
113417700201227,CONDO 500,Residential,360,3478,0,3838
113417700201228,CONDO 500,Residential,360,3478,0,3838
113417700201229,CONDO 500,Residential,360,3478,0,3838
113417700201230,CONDO 500,Residential,360,3478,0,3838
113417700201231,CONDO 500,Residential,360,3478,0,3838
113417700201232,CONDO 500,Residential,360,3478,0,3838
113417700201233,CONDO 500,Residential,360,3478,0,3838
113417700201234,CONDO 500,Residential,360,3478,0,3838
113417700201235,CONDO 500,Residential,360,3478,0,3838
113417700201236,CONDO 500,Residential,360,3478,0,3838
113417700201237,CONDO 500,Residential,360,3478,0,3838
113417700201238,CONDO 500,Residential,360,3478,0,3838
113417700201239,CONDO 500,Residential,360,3478,0,3838
113417700201240,CONDO 500,Residential,360,3478,0,3838
113417700201241,CONDO 500,Residential,360,3478,0,3838
113417700201242,CONDO 500,Residential,360,3478,0,3838
113417700201243,CONDO 500,Residential,360,3478,0,3838
113417700201244,CONDO 500,Residential,360,3478,0,3838
113417700201245,CONDO 500,Residential,360,3478,0,3838
113417700201246,CONDO 500,Residential,360,3478,0,3838
113417700201247,CONDO 500,Residential,360,3478,0,3838
113417700201248,CONDO 500,Residential,360,3478,0,3838
113417700201249,CONDO 500,Residential,360,3478,0,3838
113417700201250,CONDO 500,Residential,360,3478,0,3838
113417700201251,CONDO 500,Residential,360,3478,0,3838
113417700201252,CONDO 500,Residential,360,3478,0,3838
113417700201253,CONDO 500,Residential,360,3478,0,3838
113417700201254,CONDO 500,Residential,360,3478,0,3838
113417700201255,CONDO 500,Residential,360,3478,0,3838
113417700201256,CONDO 500,Residential,360,3478,0,3838
113417700201257,CONDO 500,Residential,360,3478,0,3838
113417700201258,CONDO 500,Residential,360,3478,0,3838
113417700201259,CONDO 500,Residential,360,3478,0,3838
113417700201260,CONDO 500,Residential,360,3478,0,3838
113417700201261,CONDO 500,Residential,360,3478,0,3838
113417700201262,CONDO 500,Residential,360,3478,0,3838
113417700201263,CONDO 500,Residential,360,3478,0,3838
113417700201264,CONDO 500,Residential,360,3478,0,3838
113417700201265,CONDO 500,Residential,360,3478,0,3838
113417700201266,CONDO 500,Residential,360,3478,0,3838
113417700201267,CONDO 500,Residential,360,3478,0,3838
113417700201268,CONDO 500,Residential,360,3478,0,3838
113417700201269,CONDO 500,Residential,360,3478,0,3838
113417700201270,CONDO 500,Residential,360,3478,0,3838
113417700201271,CONDO 500,Residential,360,3478,0,3838
113417700201272,CONDO 500,Residential,360,3478,0,3838
113417700201273,CONDO 500,Residential,360,3478,0,3838
113417700201274,CONDO 500,Residential,360,3478,0,3838
113417700201275,CONDO 500,Residential,360,3478,0,3838
113417700201276,CONDO 500,Residential,360,3478,0,3838
113417700201277,CONDO 500,Residential,360,3478,0,3838
113417700201278,CONDO 500,Residential,360,3478,0,3838
113417700201279,CONDO 500,Residential,360,3478,0,3838
113417700201280,CONDO 500,Residential,360,3478,0,3838
113417700201281,CONDO 500,Residential,360,3478,0,3838
113417700201282,CONDO 500,Residential,360,3478,0,3838
113417700201283,CONDO 500,Residential,360,3478,0,3838
113417700201284,CONDO 500,Residential,360,3478,0,3838
113417700201285,CONDO 500,Residential,360,3478,0,3838
113417700201286,CONDO 500,Residential,360,3478,0,3838
113417700201287,CONDO 500,Residential,360,3478,0,3838
113417700201288,CONDO 500,Residential,360,3478,0,3838
113417700201289,CONDO 500,Residential,360,3478,0,3838
113417700201290,CONDO 500,Residential,360,3478,0,3838
113417700201291,CONDO 500,Residential,360,3478,0,3838
113417700201292,CONDO 500,Residential,360,3478,0,3838
113417700201293,CONDO 500,Residential,360,3478,0,3838
113417700201294,CONDO 500,Residential,360,3478,0,3838
113417700201295,CONDO 500,Residential,360,3478,0,3838
113417700201296,CONDO 500,Residential,360,3478,0,3838
113417700201297,CONDO 500,Residential,360,3478,0,3838
113417700201298,CONDO 500,Residential,360,3478,0,3838
113417700201299,CONDO 500,Residential,360,3478,0,3838
113417700201300,CONDO 500,Residential,360,3478,0,3838
113417700201301,CONDO 500,Residential,360,3478,0,3838
113417700201302,CONDO 500,Residential,360,3478,0,3838
113417700201303,CONDO 500,Residential,360,3478,0,3838
113417700201304,CONDO 500,Residential,360,3478,0,3838
113417700201305,CONDO 500,Residential,360,3478,0,3838
113417700201306,CONDO 500,Residential,360,3478,0,3838
113417700201307,CONDO 500,Residential,360,3478,0,3838
113417700201308,CONDO 500,Residential,360,3478,0,3838
113417700201309,CONDO 500,Residential,360,3478,0,3838
113417700201310,CONDO 500,Residential,360,3478,0,3838
113417700201311,CONDO 500,Residential,360,3478,0,3838
113417700201312,CONDO 500,Residential,360,3478,0,3838
113417700201313,CONDO 500,Residential,360,3478,0,3838
113417700201314,CONDO 500,Residential,360,3478,0,3838
113417700201315,CONDO 500,Residential,360,3478,0,3838
113417700201316,CONDO 500,Residential,360,3478,0,3838
113417700201317,CONDO 500,Residential,360,3478,0,3838
113417700201318,CONDO 500,Residential,360,3478,0,3838
113417700201319,CONDO 500,Residential,360,3478,0,3838
113417700201320,CONDO 500,Residential,360,3478,0,3838
113417700201321,CONDO 500,Residential,360,3478,0,3838
113417700201322,CONDO 500,Residential,360,3478,0,3838
113417700201323,CONDO 500,Residential,360,3478,0,3838
113417700201324,CONDO 500,Residential,360,3478,0,3838
113417700201325,CONDO 500,Residential,360,3478,0,3838
113417700201326,CONDO 500,Residential,360,3478,0,3838
113417700201327,CONDO 500,Residential,360,3478,0,3838
113417700201328,CONDO 500,Residential,360,3478,0,3838
113417700201329,CONDO 500,Residential,360,3478,0,3838
113417700201330,CONDO 500,Residential,360,3478,0,3838
113417700201331,CONDO 500,Residential,360,3478,0,3838
113417700300000,E-15 CITY,Exempt,0,0,0,0
113417700400000,E-40 CHURCHES,Exempt,458525,0,558950,1017475
113420100201000,CONDO 501,Residential,15000,102784,0,117784
113420100201001,CONDO 501,Residential,15000,101662,0,116662
113420100201002,CONDO 501,Residential,15000,101662,0,116662
113420100201003,CONDO 501,Residential,15000,102754,0,117754
113420100201004,CONDO 501,Residential,15000,102167,0,117167
113420100201005,CONDO 501,Residential,15000,101662,0,116662
113420100201006,CONDO 501,Residential,15000,101046,0,116046
113420100201007,CONDO 501,Residential,15000,102754,0,117754
113420100201008,CONDO 501,Residential,15000,118933,0,133933
113420100201009,CONDO 501,Residential,15000,107941,0,122941
113420100201010,CONDO 501,Residential,15000,112467,0,127467
113420100201011,CONDO 501,Residential,15000,107941,0,122941
113420100201012,CONDO 501,Residential,15000,137050,0,152050
113420100201013,CONDO 501,Residential,15000,119966,0,134966
113420100201014,CONDO 501,Residential,15000,119966,0,134966
113420100201015,CONDO 501,Residential,15000,117906,0,132906
113420100201016,CONDO 501,Residential,15000,120225,0,135225
113420100201017,CONDO 501,Residential,15000,119995,0,134995
113420100201018,CONDO 501,Residential,15000,120582,0,135582
113420100201019,CONDO 501,Residential,15000,121340,0,136340
113420100201020,CONDO 501,Residential,15000,108999,0,123999
113420100201021,CONDO 501,Residential,15000,116231,0,131231
113420100201022,CONDO 501,Residential,15000,112221,0,127221
113420100201023,CONDO 501,Residential,15000,112970,0,127970
113420100201024,CONDO 501,Residential,15000,121340,0,136340
113420100201025,CONDO 501,Residential,15000,119995,0,134995
113420100201026,CONDO 501,Residential,15000,120582,0,135582
113420100201027,CONDO 501,Residential,15000,121357,0,136357
113420100201028,CONDO 501,Residential,15000,121927,0,136927
113420100201029,CONDO 501,Residential,15000,119995,0,134995
113420100201030,CONDO 501,Residential,15000,119995,0,134995
113420100201031,CONDO 501,Residential,15000,121340,0,136340
113420100201032,CONDO 501,Residential,15000,108999,0,123999
113420100201033,CONDO 501,Residential,15000,108999,0,123999
113420100201034,CONDO 501,Residential,15000,112996,0,127996
113420100201035,CONDO 501,Residential,15000,114349,0,129349
113420100301000,CONDO 501,Residential,15000,115865,0,130865
113420100301001,CONDO 501,Residential,15000,115865,0,130865
113420100301002,CONDO 501,Residential,15000,118558,0,133558
113420100301003,CONDO 501,Residential,15000,115865,0,130865
113420100401000,CONDO 501,Residential,15000,122591,0,137591
113420100401001,CONDO 501,Residential,15000,136126,0,151126
113420100401002,CONDO 501,Residential,15000,121232,0,136232
113420100401003,CONDO 501,Residential,15000,123546,0,138546
113420100401004,CONDO 501,Residential,15000,122591,0,137591
113420100401005,CONDO 501,Residential,15000,121232,0,136232
113420100401006,CONDO 501,Residential,15000,121232,0,136232
113420100401007,CONDO 501,Residential,15000,124168,0,139168
113420100401008,CONDO 501,Residential,15000,115865,0,130865
113420100401009,CONDO 501,Residential,15000,115865,0,130865
113420100401010,CONDO 501,Residential,15000,115865,0,130865
113420100401011,CONDO 501,Residential,15000,115865,0,130865
113420100501000,CONDO 501,Residential,15000,122591,0,137591
113420100501001,CONDO 501,Residential,15000,121232,0,136232
113420100501002,CONDO 501,Residential,15000,121232,0,136232
113420100501003,CONDO 501,Residential,15000,122591,0,137591
113420100501004,CONDO 501,Residential,15000,141683,0,156683
113420100501005,CONDO 501,Residential,15000,121232,0,136232
113420100501006,CONDO 501,Residential,15000,121232,0,136232
113420100501007,CONDO 501,Residential,15000,121938,0,136938
113420100501008,CONDO 501,Residential,15000,115865,0,130865
113420100501009,CONDO 501,Residential,15000,123148,0,138148
113420100501010,CONDO 501,Residential,15000,115865,0,130865
113420100501011,CONDO 501,Residential,15000,123148,0,138148
113420100601000,CONDO 501,Residential,15000,122591,0,137591
113420100601001,CONDO 501,Residential,15000,121232,0,136232
113420100601002,CONDO 501,Residential,15000,121232,0,136232
113420100601003,CONDO 501,Residential,15000,122591,0,137591
113420100601004,CONDO 501,Residential,15000,115865,0,130865
113420100601005,CONDO 501,Residential,15000,115865,0,130865
113420100601006,CONDO 501,Residential,15000,115865,0,130865
113420100601007,CONDO 501,Residential,15000,121805,0,136805
113420100601008,CONDO 501,Residential,15000,122591,0,137591
113420100601009,CONDO 501,Residential,15000,121232,0,136232
113420100601010,CONDO 501,Residential,15000,121232,0,136232
113420100601011,CONDO 501,Residential,15000,122591,0,137591
113420100701000,CONDO 501,Residential,15000,103844,0,118844
113420100701001,CONDO 501,Residential,15000,102710,0,117710
113420100701002,CONDO 501,Residential,15000,102710,0,117710
113420100701003,CONDO 501,Residential,15000,103844,0,118844
113420100701004,CONDO 501,Residential,15000,103844,0,118844
113420100701005,CONDO 501,Residential,15000,102710,0,117710
113420100701006,CONDO 501,Residential,15000,102710,0,117710
113420100701007,CONDO 501,Residential,15000,103844,0,118844
113420100701008,CONDO 501,Residential,15000,114161,0,129161
113420100701009,CONDO 501,Residential,15000,115282,0,130282
113420100701010,CONDO 501,Residential,15000,114161,0,129161
113420100701011,CONDO 501,Residential,15000,114695,0,129695
113420100800000,NE 159,Residential,26384,180229,0,206613
113420100900000,NE 159,Residential,26384,164833,0,191217
113420101000000,NE 159,Residential,26384,206342,0,232726
113420101100000,NE 159,Residential,26384,182738,0,209122
113420101200000,NE 159,Residential,27146,220858,0,248004
113420101300000,NE 159,Residential,28660,184196,0,212856
