GIS_Number,GIS_Number_2,Doing Business As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,_unnamed
142048101500000,142048101500000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.0321,,,,,,,,
142048301200000,142048301200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.0092,,,,,,,,
142117700200000,142117700200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.0104,,,,,,,,
142135100100000,142135100100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.5075,,,,,,,,
142135200100000,142135200100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,3.7644,,,,,,,,
142137700100000,142137700100000,,Exempt,E-15 CITY,370,1ST AVE NE,CITY OF CEDAR RAPIDS,1.8182,,,,,,,,
142137800100000,142137800100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.1928,,,,,,,,
142137800102000,142137800102000,,Exempt,E-15 CITY,350,1ST AVE NE,CITY OF CEDAR RAPIDS,,,,,,,,,
142138000100000,142138000100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,1.2989,,,,,,,,
142140502000000,142140502000000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.011,,,,,,,,
142145500200000,142145500200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.7713,,,,,,,,
142145500300000,142145500300000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,,,,,,,,,
142145900100000,142145900100000,,Exempt,E-15 CITY,428,3RD AVE SE,CITY OF CEDAR RAPIDS,0.7713,,,,,,,,
142145900500000,142145900500000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,0.3857,,,,,,,,
142146000100000,142146000100000,,Exempt,E-15 CITY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.2893,,,,,,,,
142146000200000,142146000200000,,Exempt,E-15 CITY,325,1ST AVE SE,CEDAR RAPIDS CITY OF,0.3214,,,,,,,,
142146100100000,142146100100000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,2.0662,,,,,,,,
142220500100000,142220500100000,,Exempt,E-15 CITY,1556,B AVE NE,CITY OF CEDAR RAPIDS,0.2185,,,,,,,,
142221301100000,142221301100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.0115,,,,,,,,
142223000800000,142223000800000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.0643,,,,,,,,
142223202200000,142223202200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.1286,,,,,,,,
142223202300000,142223202300000,,Exempt,E-15 CITY,1424,B AVE NE,CITY OF CEDAR RAPIDS,0.1928,,,,,,,,
142227800100000,142227800100000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,1.23,,,,,,,,
142228200100000,142228200100000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,0.15,,,,,,,,
