GIS_Number_valuations,Map_Name_valuations,Class_valuations,2010 Land Res,2010 Land Comm,2010 Land Total,2010 Dwlg,2010 Improv,2010 Total
112637701200000,NE 160,Residential,29686,0,29686,227554,0,257240
112637701300000,NE 160,Residential,29377,0,29377,218520,0,247897
112637701400000,NE 160,Residential,28469,0,28469,162936,0,191405
112637701500000,NE 160,Residential,30680,0,30680,218822,0,249502
112637701600000,NE 160,Residential,30721,0,30721,189141,0,219862
112637701700000,NE 160,Residential,29054,0,29054,180982,0,210036
112637701800000,NE 160,Residential,29155,0,29155,178297,0,207452
112637701900000,NE 160,Residential,29260,0,29260,180718,0,209978
112637702000000,NE 160,Residential,27720,0,27720,191162,0,218882
112637702100000,NE 160,Residential,27720,0,27720,203065,0,230785
112637702200000,NE 160,Residential,29400,0,29400,189571,0,218971
112637702300000,NE 160,Residential,28392,0,28392,194315,0,222707
112637702400000,NE 160,Residential,29136,0,29136,179394,0,208530
112637702500000,NE 160,Residential,28978,0,28978,210794,0,239772
112637702600000,NE 160,Residential,30315,0,30315,192654,0,222969
112637702700000,NE 160,Residential,28946,0,28946,204062,0,233008
112637800100000,NE 160,Residential,28560,0,28560,211278,0,239838
112637800200000,NE 160,Residential,27132,0,27132,209459,0,236591
112637800300000,NE 160,Residential,29631,0,29631,214415,0,244046
112637800400000,NE 160,Residential,29047,0,29047,239843,0,268890
112637800500000,NE 160,Residential,28679,0,28679,230135,0,258814
112637800600000,NE 160,Residential,29370,0,29370,198576,0,227946
112637800700000,NE 160,Residential,28233,0,28233,211656,0,239889
112637800800000,NE 160,Residential,28053,0,28053,177341,0,205394
112637800900000,NE 160,Residential,28700,0,28700,214066,0,242766
112637801000000,NE 160,Residential,29223,0,29223,196598,0,225821
112637801100000,NE 160,Residential,30356,0,30356,209180,0,239536
112637801200000,NE 160,Residential,28583,0,28583,186437,0,215020
112637801300000,NE 160,Residential,28382,0,28382,207989,0,236371
112637801400000,NE 160,Residential,28000,0,28000,208378,0,236378
112637801500000,NE 160,Residential,28000,0,28000,184803,0,212803
112637801600000,NE 160,Residential,26984,0,26984,202194,0,229178
112637801700000,NE 160,Residential,28827,0,28827,192753,0,221580
112637801800000,NE 160,Residential,28916,0,28916,201419,0,230335
112637801900000,NE 160,Residential,29825,0,29825,187965,0,217790
112637802000000,NE 160,Residential,28560,0,28560,182778,0,211338
112637900100000,NE 160,Residential,30047,0,30047,224785,0,254832
112637900200000,NE 160,Residential,28541,0,28541,196363,0,224904
112637900300000,NE 160,Residential,29006,0,29006,202088,0,231094
112637900400000,NE 160,Residential,28009,0,28009,190880,0,218889
112637900500000,NE 160,Residential,29274,0,29274,191635,0,220909
112637900600000,NE 160,Residential,30307,0,30307,167098,0,197405
112637900700000,NE 160,Residential,29000,0,29000,193845,0,222845
112637900800000,NE 160,Residential,28280,0,28280,206246,0,234526
112637900900000,NE 160,Residential,31462,0,31462,245247,0,276709
112637901000000,NE 160,Residential,29662,0,29662,254741,0,284403
112638000100000,NE 160,Residential,29925,0,29925,196796,0,226721
112638000200000,NE 160,Residential,26600,0,26600,216021,0,242621
112638000300000,NE 160,Residential,29400,0,29400,188049,0,217449
112638000400000,NE 160,Residential,28000,0,28000,188898,0,216898
112638000500000,NE 160,Residential,28000,0,28000,185180,0,213180
112638100100000,NE 160,Residential,31424,0,31424,186375,0,217799
112638100200000,NE 160,Residential,29925,0,29925,156842,0,186767
112638100300000,NE 160,Residential,29568,0,29568,173001,0,202569
112638100400000,NE 160,Residential,30000,0,30000,198039,0,228039
112638100500000,NE 160,Residential,28185,0,28185,195448,0,223633
112638100600000,NE 160,Residential,27132,0,27132,183545,0,210677
112638100700000,NE 160,Residential,28560,0,28560,192827,0,221387
112638100800000,NE 160,Residential,28502,0,28502,174994,0,203496
112638100900000,NE 160,Residential,27190,0,27190,149920,0,177110
112638101000000,NE 160,Residential,28560,0,28560,173189,0,201749
112638101100000,NE 160,Residential,28560,0,28560,186711,0,215271
112638101200000,NE 160,Residential,27132,0,27132,201135,0,228267
112638101300000,NE 160,Residential,29988,0,29988,186334,0,216322
112638101400000,NE 160,Residential,28560,0,28560,195827,0,224387
112638101500000,NE 160,Residential,28560,0,28560,200246,0,228806
112638101600000,NE 160,Residential,27720,0,27720,200344,0,228064
112638101700000,NE 160,Residential,30030,0,30030,149502,0,179532
112638200100000,NE 160,Residential,30522,0,30522,191298,0,221820
112638200200000,NE 160,Residential,25100,0,25100,173146,0,198246
112638200300000,NE 160,Residential,29252,0,29252,209228,0,238480
112638200400000,NE 160,Residential,30430,0,30430,172757,0,203187
112638200500000,NE 160,Residential,29457,0,29457,200466,0,229923
112638200600000,NE 160,Residential,29512,0,29512,179424,0,208936
112638200700000,NE 160,Residential,29988,0,29988,188974,0,218962
112638200800000,NE 160,Residential,27132,0,27132,180044,0,207176
112638200900000,NE 160,Residential,27132,0,27132,189713,0,216845
112638201000000,NE 160,Residential,29988,0,29988,205326,0,235314
112638201100000,NE 160,Residential,31118,0,31118,242066,0,273184
112638201200000,NE 160,Residential,29988,0,29988,216681,0,246669
112638201300000,NE 160,Residential,28203,0,28203,211907,0,240110
112638201400000,NE 160,Residential,26061,0,26061,169914,0,195975
112638201500000,NE 160,Residential,29988,0,29988,181146,0,211134
112638201600000,NE 160,Residential,27132,0,27132,200319,0,227451
112638201700000,NE 160,Residential,29047,0,29047,197074,0,226121
112638201800000,NE 160,Residential,30953,0,30953,189420,0,220373
112638201900000,NE 160,Residential,31450,0,31450,223894,0,255344
112638202000000,NE 160,Residential,28560,0,28560,159114,0,187674
112638202100000,NE 160,Residential,28560,0,28560,149571,0,178131
112638202200000,NE 160,Residential,28560,0,28560,197775,0,226335
112638202300000,NE 160,Residential,30430,0,30430,203759,0,234189
112638300100000,NE 160,Residential,29792,0,29792,189905,0,219697
