GIS_Number_valuations,Map_Name_valuations,Class_valuations,2015 Land Res,2015 Land Comm,2015 Total Land,2015 Dwlg,2015 Improv,2015 Total
112637801700000,NE 160,RESIDENTIAL,47400,0,47400,176900,0,224300
112637801800000,NE 160,RESIDENTIAL,47500,0,47500,185000,0,232500
112637801900000,NE 160,RESIDENTIAL,49000,0,49000,171900,0,220900
112637802000000,NE 160,RESIDENTIAL,46900,0,46900,166900,0,213800
112637900100000,NE 160,RESIDENTIAL,49400,0,49400,210600,0,260000
112637900200000,NE 160,RESIDENTIAL,46900,0,46900,190700,0,237600
112637900300000,NE 160,RESIDENTIAL,47700,0,47700,188300,0,236000
112637900400000,NE 160,RESIDENTIAL,46000,0,46000,173400,0,219400
112637900500000,NE 160,RESIDENTIAL,48100,0,48100,177000,0,225100
112637900600000,NE 160,RESIDENTIAL,49800,0,49800,162100,0,211900
112637900700000,NE 160,RESIDENTIAL,47600,0,47600,177600,0,225200
112637900800000,NE 160,RESIDENTIAL,46500,0,46500,187200,0,233700
112637900900000,NE 160,RESIDENTIAL,51700,0,51700,229700,0,281400
112637901000000,NE 160,RESIDENTIAL,48700,0,48700,237500,0,286200
112638000100000,NE 160,RESIDENTIAL,49200,0,49200,180600,0,229800
112638000200000,NE 160,RESIDENTIAL,43700,0,43700,200100,0,243800
112638000300000,NE 160,RESIDENTIAL,48300,0,48300,183600,0,231900
112638000400000,NE 160,RESIDENTIAL,46000,0,46000,188000,0,234000
112638000500000,NE 160,RESIDENTIAL,46000,0,46000,171500,0,217500
112638100100000,NE 160,RESIDENTIAL,51600,0,51600,168600,0,220200
112638100200000,NE 160,RESIDENTIAL,49200,0,49200,146300,0,195500
112638100300000,NE 160,RESIDENTIAL,48600,0,48600,158600,0,207200
112638100400000,NE 160,RESIDENTIAL,30000,0,30000,188000,0,218000
112638100500000,NE 160,RESIDENTIAL,46300,0,46300,191800,0,238100
112638100600000,NE 160,RESIDENTIAL,44600,0,44600,182000,0,226600
112638100700000,NE 160,RESIDENTIAL,46900,0,46900,185200,0,232100
112638100800000,NE 160,RESIDENTIAL,46800,0,46800,166700,0,213500
112638100900000,NE 160,RESIDENTIAL,44700,0,44700,149800,0,194500
112638101000000,NE 160,RESIDENTIAL,46900,0,46900,160700,0,207600
112638101100000,NE 160,RESIDENTIAL,46900,0,46900,172700,0,219600
112638101200000,NE 160,RESIDENTIAL,44600,0,44600,197600,0,242200
112638101300000,NE 160,RESIDENTIAL,49300,0,49300,189900,0,239200
112638101400000,NE 160,RESIDENTIAL,46900,0,46900,182900,0,229800
112638101500000,NE 160,RESIDENTIAL,46900,0,46900,182400,0,229300
112638101600000,NE 160,RESIDENTIAL,45500,0,45500,186200,0,231700
112638101700000,NE 160,RESIDENTIAL,49300,0,49300,138300,0,187600
112638200100000,NE 160,RESIDENTIAL,50100,0,50100,175700,0,225800
112638200200000,NE 160,RESIDENTIAL,41200,0,41200,157300,0,198500
112638200300000,NE 160,RESIDENTIAL,48100,0,48100,188700,0,236800
112638200400000,NE 160,RESIDENTIAL,50000,0,50000,156300,0,206300
