GIS_Number,Doing_Business_As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,_unnamed,2012 Land Res,2012 Land Comm,2012 Land Total,2012 Dwlg,2012 Improv,2012 Total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2008 Land,2008 Dwlg,2008 Improv,2008 total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2016 Land Res,2016 Land Comm,2016 Land Total,2016 Dwlg,2016 Improv,2016 Total
132415301500000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,4.13,,,,,,,,,0,0,0,0,0,0,132415301500000,Empty,Exempt,0,0,0,0,132415301500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132425101100000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0,132425101100000,Empty,Exempt,0,0,0,0,132425101100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132425301700000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.46,,,,,,,,,0,0,0,0,0,0,,,,,,,,132425301700000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132432600700000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,7.7,,,,,,,,,0,0,0,0,0,0,132432600700000,NW 345,Ag Land,7170,0,0,7170,132432600700000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132438002700000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.0165,,,,,,,,,0,0,0,0,0,0,132438002700000,Empty,Exempt,0,0,0,0,132438002700000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132440200100000,,Exempt,CITY PROPERTY,1200,EDGEWOOD RD NW,CEDAR RAPIDS CITY OF,3.13,,,,,,,,,0,0,0,0,0,0,132440200100000,NW 337,Residential,70650,0,0,70650,132440200100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132440200300000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.855,,,,,,,,,0,0,0,0,0,0,132440200300000,NW 337,Residential,53100,0,0,53100,132440200300000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132515100100000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.585,,,,,,,,,0,0,0,0,0,0,132515100100000,Empty,Exempt,0,0,0,0,132515100100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132515100200000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.281,,,,,,,,,0,0,0,0,0,0,132515100200000,Empty,Exempt,0,0,0,0,132515100200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132515100300000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.422,,,,,,,,,0,0,0,0,0,0,132515100300000,Empty,Exempt,0,0,0,0,132515100300000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132515200100000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,10.53,,,,,,,,,0,0,0,0,0,0,132515200100000,Empty,Exempt,0,0,0,0,132515200100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132515300800000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.298,,,,,,,,,0,0,0,0,0,0,132515300800000,Empty,Exempt,0,0,0,0,132515300800000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
