GIS_Number,GIS_Number_2,Doing_Business_As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area
142847902000000,142847902000000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.0574,,,,,,,
142847902200000,142847902200000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.0688,,,,,,,
142847902300000,142847902300000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.0688,,,,,,,
142732801200000,142732801200000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.1,,,,,,,
142848000400000,142848000400000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.1147,,,,,,,
142847901800000,142847901800000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.1148,,,,,,,
142847902100000,142847902100000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.1148,,,,,,,
142848000200000,142848000200000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.1148,,,,,,,
142848000300000,142848000300000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.1148,,,,,,,
142727700700000,142727700700000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.125,,,,,,,
142847901900000,142847901900000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.1721,,,,,,,
142823700200000,142823700200000,FLAT PARKING,EXEMPT,CITY PROPERTY,305,2ND AVE SW,CEDAR RAPIDS CITY OF,0.184,,,,,,,
142848000900000,142848000900000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.184,,,,,,,
