GIS_Number,Doing_Business_As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,2016 Land Res,2016 Land Comm,2016 Land Total,2016 Dwlg,2016 Improv,2016 Total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2008 Land,2008 Dwlg,2008 Improv,2008 total
142337802700000,FIRE STATION #6,EXEMPT,CITY PROPERTY,2416,MT VERNON RD SE,CEDAR RAPIDS CITY OF,,,,,,,,,0,0,0,0,0,0,142337802700000,Empty,Exempt,0,0,0,0
141135300500000,FIRE STATION #7,EXEMPT,CITY PROPERTY,206,29TH ST NE,CEDAR RAPIDS CITY OF,0.38,,,,,,,,0,0,0,0,0,0,141135300500000,Empty,Exempt,0,0,0,0
132537700100000,FIRE STATION #8,EXEMPT,CITY PROPERTY,100,WILEY BLVD SW,CEDAR RAPIDS CITY OF,1.0,,,,,,,,0,0,0,0,0,0,132537700100000,Empty,Exempt,0,0,0,0
113440300100000,FIRE STATION #9,EXEMPT,CITY PROPERTY,415,BRODERICK DR NE,CEDAR RAPIDS CITY OF,0.5939,,,,,,,,0,0,0,0,0,0,113440300100000,Empty,Exempt,0,0,0,0
142140800900000,FIRE STATION 1ST AVE SE,EXEMPT,CITY PROPERTY,705,1ST AVE SE,CEDAR RAPIDS CITY OF,1.03,,,,,,,,0,0,0,0,0,0,,,,,,,
142140801000000,FIRE STATION 1ST AVE SE,EXEMPT,CITY PROPERTY,706,2ND AVE SE,CEDAR RAPIDS CITY OF,1.03,,,,,,,,0,0,0,0,0,0,,,,,,,
142822700100000,FIRE TRAINING FACILITY,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.6683,,,,,,,,0,0,0,0,0,0,142822700100000,Empty,Exempt,0,0,0,0
142910600100000,FIRE TRUCK GARAGE,EXEMPT,CITY PROPERTY,222,3RD ST NW,CEDAR RAPIDS CITY OF,2.2361,,,,,,,,0,0,0,0,0,0,142910600100000,Empty,Exempt,0,0,0,0
132440200300000,FIRESTATION 3,EXEMPT,CITY PROPERTY,3520,CRESTWOOD DR NW,CEDAR RAPIDS CITY OF,0.855,,,,,,,,0,0,0,0,0,0,132440200300000,NW 337,Residential,53100,0,0,53100
142913000800000,FIVE SEASONS TRANSPORTATION & PARKING MAINTENANCE FACILITY,EXEMPT,CITY PROPERTY,620,C AVE NW,CEDAR RAPIDS CITY OF,0.195,,,,,,,,0,0,0,0,0,0,142913000800000,NW 311,Exempt,0,0,0,0
190645100100000,FLAHERTY PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,12.2921,,,,,,,,0,0,0,0,0,0,190645100100000,Empty,Exempt,0,0,0,0
190647600100000,FLAHERTY PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,19.2426,,,,,,,,0,0,0,0,0,0,190647600100000,Empty,Exempt,0,0,0,0
142810501100000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,,,,,,,,,0,0,0,0,0,0,142810501100000,Empty,Exempt,0,0,0,0
142848000600000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.0229,,,,,,,,0,0,0,0,0,0,142848000600000,Empty,Exempt,0,0,0,0
142810500400000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.028,,,,,,,,0,0,0,0,0,0,142810500400000,Empty,Exempt,0,0,0,0
142847902000000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.0574,,,,,,,,0,0,0,0,0,0,142847902000000,Empty,Exempt,0,0,0,0
142847902200000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.0688,,,,,,,,0,0,0,0,0,0,142847902200000,Empty,Exempt,0,0,0,0
142847902300000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.0688,,,,,,,,0,0,0,0,0,0,142847902300000,Empty,Exempt,0,0,0,0
142732801200000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.1,,,,,,,,0,0,0,0,0,0,,,,,,,
142848000400000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.1147,,,,,,,,0,0,0,0,0,0,142848000400000,Empty,Exempt,0,0,0,0
142847901800000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.1148,,,,,,,,0,0,0,0,0,0,142847901800000,Empty,Exempt,0,0,0,0
142847902100000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.1148,,,,,,,,0,0,0,0,0,0,142847902100000,Empty,Exempt,0,0,0,0
142848000200000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.1148,,,,,,,,0,0,0,0,0,0,142848000200000,Empty,Exempt,0,0,0,0
142848000300000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.1148,,,,,,,,0,0,0,0,0,0,142848000300000,Empty,Exempt,0,0,0,0
142727700700000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.125,,,,,,,,0,0,0,0,0,0,142727700700000,Empty,Exempt,0,0,0,0
142847901900000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.1721,,,,,,,,0,0,0,0,0,0,142847901900000,Empty,Exempt,0,0,0,0
142823700200000,FLAT PARKING,EXEMPT,CITY PROPERTY,305,2ND AVE SW,CEDAR RAPIDS CITY OF,0.184,,,,,,,,0,0,0,0,0,0,142823700200000,SW 401,Residential,17603,44248,0,61851
142848000900000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.184,,,,,,,,0,0,0,0,0,0,142848000900000,Empty,Exempt,0,0,0,0
142813100400000,FLAT PARKING,EXEMPT,CITY PROPERTY,312,1ST ST SE,CEDAR RAPIDS CITY OF,0.1928,,,,,,,,0,0,0,0,0,0,142813100400000,COMM CTRL CORE,Commercial,90720,0,293344,384064
193020100500000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.2193,,,,,,,,0,0,0,0,0,0,193020100500000,Empty,Exempt,0,0,0,0
142820600200000,FLAT PARKING,EXEMPT,CITY PROPERTY,101,3RD AVE SE,CEDAR RAPIDS CITY OF,0.2201,,,,,,,,0,0,0,0,0,0,142820600200000,COMM CTRL CORE,Commercial,155326,0,222974,378300
191415800900000,FLAT PARKING,EXEMPT,CITY PROPERTY,1931,ROOSEVELT RD SW,CEDAR RAPIDS CITY OF,0.281,,,,,,,,0,0,0,0,0,0,191415800900000,SW 422,Residential,377,0,0,377
142146000100000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.2893,,,,,,,,0,0,0,0,0,0,142146000100000,Empty,Exempt,0,0,0,0
142145900500000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.386,,,,,,,,0,0,0,0,0,0,142145900500000,Empty,Exempt,0,0,0,0
